data_len,per_len,time1,time2,speedup
1,1,0.02793,0.0147,0.5263157894736842
2,2,0.016938,0.014866,0.8776715078521666
4,4,0.049605,0.042648,0.8597520411248866
8,8,0.067225,0.060581,0.9011677203421348
12,12,0.092173,0.083394,0.9047551886127173
16,16,0.116106,0.108312,0.9328716862177666
20,20,0.172736,0.166561,0.9642518062245276
21,21,0.173446,0.178964,1.0318139363260037
22,22,0.172123,0.184389,1.0712629921625814
23,23,0.172842,0.184648,1.0683051573113018
24,24,0.249246,0.273265,1.0963666417916436
25,25,0.246184,0.268178,1.0893396808890912
28,28,0.354184,0.396851,1.120465633681928
32,32,0.43296,0.505023,1.1664426274944568
40,40,0.657347,0.740856,1.1270394479627959
48,48,0.870441,1.003848,1.1532636904741391
56,56,1.387129,1.572705,1.1337842406870593
64,64,1.745378,2.045371,1.1718785271729102
80,80,4.124278,3.578741,0.8677254540067376
96,96,6.412687,5.474143,0.8536426306164638
128,128,13.222395,13.518546,1.022397682114322
256,256,27.494961,27.797661,1.011009290029544
512,512,59.923653,61.074184,1.0191999476400413
1024,1024,128.557022,130.080673,1.0118519469127092
